medicine_name,public_price_lbp,public_price_usd,agent_name,is_subsidized,subsidy_category,registration_no,strength,presentation
"ADVAGRAF",13297758,148.58,"Abela Frères S.A.L.",1,"Stratum C","186521/13","0.5mg","100"
"ADVAGRAF",25729044,287.48,"Abela Frères S.A.L.",0,"Stratum D","186522/13","1mg","100"
"ADVAGRAF",68645618,766.99,"Abela Frères S.A.L.",1,"Stratum E1","186523/13","3mg","100"
"ADVAGRAF",85485667,955.15,"Abela Frères S.A.L.",1,"Stratum E2","186524/13","5mg","100"
"ADVANTAN",385683,4.31,"UPO S.A.L.",1,"Stratum A1","94820/1","","20g"
"ADVANTAN",385683,4.31,"UPO S.A.L.",1,"Stratum A1","94920/1","","20g"
"ADVIL",387027,4.32,"Sadco",1,"Stratum A1","77021/1","200mg","50"
"ADVIL COLD & SINUS",288926,3.23,"Sadco",1,"Stratum A1","76921/1","","20"
"ADVIL LIQUI-GELS",464970,5.20,"Sadco",1,"Stratum A1","97321/1","200mg","32"
"ADVIL LIQUI-GELS EXTRA STRENGTH",575165,6.43,"Droguerie Mercury S.A.L.",1,"Stratum A1","48818/1","400mg","24"
"AERIALLERG",200233,2.24,"Picomed SARL",1,"Stratum A1","97366/12","0.5mg/ml","125ml"
"AERIALLERG",400465,4.47,"Picomed SARL",1,"Stratum A1","167742/11","5mg","30"
"AERIUS",403153,4.50,"Abela Frères S.A.L.",1,"Stratum A1","24888/07","0.5mg/ml","150ml"
"AERIUS",430030,4.80,"Abela Frères S.A.L.",1,"Stratum A1","186613/13","5mg","30"
"AERIUS",430030,4.80,"Abela Frères S.A.L.",1,"Stratum A1","65022/1","5mg","30"
"AEROCORT-A HFA",541569,6.05,"Droguerie de l'Union",1,"Stratum A1","219222/09","","200metered doses"
"AEROFOR",897687,10.03,"Macromed S.A.R.L.",1,"Stratum A2","165120/1","12mcg","30"
"AEROFOR",1709368,19.10,"Macromed S.A.R.L.",1,"Stratum B","165020/1","12mcg","60"
"AERONIDE",2116552,23.65,"Macromed S.A.R.L.",1,"Stratum B","175820/1","400mcg","60caps+inhaler"
"AERONIDE",1150329,12.85,"Macromed S.A.R.L.",1,"Stratum A2","175920/1","200mcg","60caps+inhaler"
"AETHOXYSKLEROL",2576146,28.78,"Medway Healthcare SARL Single Partner",1,"Stratum B","216/1","3%","5Ampoules x 2ml"
"AETHOXYSKLEROL",1441943,16.11,"Medway Healthcare SARL Single Partner",1,"Stratum B","416/1","0.5%","5Ampoules x 2ml"
