Code,Registration number,Brand name,Strength,Presentation,Form,Agent,Manufacturer,Country,Public Price LL,Pharmacist Margin,Stratum,public price Decision 119/1 20230126,Responsible Party Name,Responsible Party Country,Exch_Dates
12048,98322/1,5-FROTU,1000mg/20ml,1Vial for single use,Solution for injection,Germanos Health Care Supplies SARL,Onko Ilac Sanayi Ve Tic AS,Turkey,"577,852",23.08,A1,6.46,Onko Ilac Sanayi Ve Tic AS,Turkey,8/11/2026
12127,81222/1,7.5% DEXTROSE INJECTION USP,,Non Pvc 500ml,,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"222,941",16.67,,2.49,,,8/11/2026
12468,81322/1,9% SODIUM CHLORIDE ,,1000ml,Injection USP,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"280,400",16.67,,3.13,Serum and Solutions SAL,Lebanon,8/11/2026
12503,148323/1,A.B.C NIGHT,,20,"Tablet, film coated",Riad Pharmacy,Pharmadex,Lebanon,"222,694",23.08,A1,2.49,,,8/11/2026
10544,70720/1,A.B.C.-COLD,,20,"Tablet, film coated",Riad Pharmacy,Pharmadex,Lebanon,"534,977",23.08,A1,5.98,,,8/11/2026
10548,167320/1,A.S HEART,81mg,30,"Tablet, enteric coated",Riad Pharmacy,Pharmadex,Lebanon,"148,463",23.08,A1,1.66,,,8/11/2026
9325,42316/1,ABILIFY MAINTENA,400mg,1Vial of powder +1Vial of 2ml solvent,Powder and solvent for prolonged release suspension for injection,Sadco,H. Lundbeck AS,Denmark,"29,491,998",19.35,D,329.52,H. Lundbeck AS,Denmark,8/11/2026
10698,77116/1,ABIPREX 10,10mg,30,Tablet,Benta Trading Co s.a.l.,Benta SAL,Lebanon,"1,075,074",23.08,B,12.01,,,8/11/2026
10699,77216/1,ABIPREX 15,15mg,30,Tablet,Benta Trading Co s.a.l.,Benta SAL,Lebanon,"1,075,074",23.08,B,12.01,,,8/11/2026
10966,91022/1,ABIRATERONE ACETATE NEAPOLIS,250mg,120,Tablet,Medis Pharm Drugstore,Neapolis Pharma,Tunisia,"75,418,662",2.44,E2,842.67,Neapolis Pharma,Tunisia,8/11/2026
10993,6421/1,ABIRATERONE ACETATE SPC,250mg,120,"Tablet, film coated",Advanced Healthcare Services SAL,"Pharmaline SAL Licensed by Sudair Pharma Company, KSA",Lebanon,"73,748,373",2.44,E2,824.00,,,8/11/2026
11432,113920/1,ABLAX 250,250mg,120,Tablet,Benta Trading Co s.a.l.,"Manufactured by MSN Laboratories Private Ltd, India for Benta SAL",Lebanon,"45,056,853",10.71,E1,503.43,,,8/11/2026
11691,152623/1,ABLAX 500,500mg,60,Tablet,Benta Trading Co s.a.l.,"Manufactured by MSN Laboratories Private Ltd, India for Benta SAL",Lebanon,"45,056,853",10.71,E1,503.43,,,8/11/2026
11001,93321/1,ABRAXANE,5mg/ml,1 Vial,Injectable powder for dispersion for infusion,Droguerie de l'Union,Abraxis BioScience LLC,USA,"17,850,751",19.35,D,199.45,Bristol-Myers Squibb Pharma EEIG,Ireland,8/11/2026
10796,52919/1,ABREMIA,250mg,120,Tablet,Droguerie de l'Union,The Arab Pharmaceutical Manufacturing PSC,Jordan,"77,478,802",10.71,E1,865.68,Hikma Pharmaceuticals,Jordan,8/11/2026
11325,147822/1,ABRILADA,40mg,2prefilled syringes 0.8ml + 2alcohol pads,Solution for injection,Mersaco,"Catalent Indiana, LLC",USA,"40,259,574",10.71,E1,449.83,Pfizer Europe MA EEIG,Belgium,8/11/2026
11326,147922/1,ABRILADA,40mg,2prefilled pens 0.8ml + 2alcohol pads,Solution for injection,Mersaco,"Catalent Indiana, LLC",USA,"40,259,574",10.71,E1,449.83,Pfizer Europe MA EEIG,Belgium,8/11/2026
12111,53425/1,ABRYSVO,,"1Vial with powder, 1Pre-filled syringe of solvent, 1Vial adapter, 1needle",Powder and solvent for solution for injection,Mersaco,Pfizer Manufacturing Belgium NV ,Belgium,"22,650,721",19.35,D,253.08,Pfizer Europe MA EEIG,Belgium,8/11/2026
12386,28325/1,ABSORICA LIDOSE,16mg,30,"capsule, hard",Pharmamedic S.A.R.L.,"Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by SMB Technology SA, Belgium",Lebanon,"1,827,045",23.08,B,20.41,,,8/11/2026
9058,43417/1,ABSTRAL,100mcg,10,"Tablet, sublingual",Droguerie Mercury S.A.L.,Recipharm Leganes S.L.U.,Spain,"3,419,743",23.08,B,38.21,Kyowa Kirin Limited,UK,8/11/2026
9059,43217/1,ABSTRAL,200mcg,10,"Tablet, sublingual",Droguerie Mercury S.A.L.,Recipharm Leganes S.L.U.,Spain,"5,261,143",23.08,B,58.78,Kyowa Kirin Limited,UK,8/11/2026
